time 	S 	I 	R 	V 	E
1.00 	990.00 	5.00 	0.00 	0.00 	5.00
2.00 	988.43 	5.47 	0.01 	1.38 	4.71
3.00 	986.85 	5.90 	0.03 	2.76 	4.46
4.00 	985.26 	6.32 	0.04 	4.14 	4.24
5.00 	983.66 	6.71 	0.06 	5.50 	4.07
6.00 	982.05 	7.08 	0.08 	6.87 	3.92
7.00 	980.44 	7.44 	0.09 	8.23 	3.80
8.00 	978.81 	7.79 	0.11 	9.58 	3.70
9.00 	977.18 	8.13 	0.13 	10.93 	3.62
10.00 	975.55 	8.46 	0.15 	12.27 	3.57
11.00 	973.90 	8.79 	0.17 	13.61 	3.53
12.00 	972.25 	9.11 	0.20 	14.95 	3.50
13.00 	970.60 	9.42 	0.22 	16.27 	3.49
14.00 	968.94 	9.74 	0.24 	17.60 	3.48
15.00 	967.27 	10.05 	0.27 	18.92 	3.49
16.00 	965.60 	10.37 	0.29 	20.23 	3.51
17.00 	963.92 	10.68 	0.32 	21.54 	3.54
18.00 	962.24 	11.00 	0.34 	22.84 	3.57
19.00 	960.55 	11.32 	0.37 	24.14 	3.61
20.00 	958.86 	11.64 	0.40 	25.44 	3.66
21.00 	957.16 	11.97 	0.43 	26.73 	3.72
22.00 	955.46 	12.30 	0.46 	28.01 	3.78
23.00 	953.75 	12.64 	0.49 	29.29 	3.84
24.00 	952.03 	12.98 	0.52 	30.56 	3.91
25.00 	950.31 	13.33 	0.55 	31.83 	3.98
26.00 	948.58 	13.69 	0.58 	33.10 	4.06
27.00 	946.84 	14.05 	0.62 	34.36 	4.14
28.00 	945.10 	14.42 	0.65 	35.61 	4.23
29.00 	943.35 	14.79 	0.69 	36.86 	4.31
30.00 	941.59 	15.17 	0.72 	38.10 	4.41
31.00 	939.83 	15.57 	0.76 	39.34 	4.50
32.00 	938.06 	15.97 	0.80 	40.58 	4.60
33.00 	936.28 	16.37 	0.84 	41.81 	4.70
34.00 	934.49 	16.79 	0.87 	43.03 	4.81
35.00 	932.70 	17.22 	0.92 	44.25 	4.91
36.00 	930.90 	17.65 	0.96 	45.47 	5.02
37.00 	929.09 	18.10 	1.00 	46.68 	5.14
38.00 	927.27 	18.56 	1.04 	47.88 	5.25
39.00 	925.44 	19.02 	1.09 	49.08 	5.37
40.00 	923.60 	19.50 	1.13 	50.28 	5.50
41.00 	921.75 	19.98 	1.18 	51.47 	5.62
42.00 	919.89 	20.48 	1.23 	52.65 	5.75
43.00 	918.02 	20.99 	1.28 	53.83 	5.88
44.00 	916.14 	21.51 	1.33 	55.01 	6.01
45.00 	914.25 	22.04 	1.38 	56.18 	6.15
46.00 	912.35 	22.59 	1.43 	57.34 	6.29
47.00 	910.43 	23.14 	1.49 	58.50 	6.43
48.00 	908.51 	23.71 	1.54 	59.66 	6.58
49.00 	906.57 	24.29 	1.60 	60.81 	6.73
50.00 	904.62 	24.89 	1.66 	61.95 	6.88
51.00 	902.66 	25.50 	1.72 	63.09 	7.04
52.00 	900.68 	26.12 	1.78 	64.23 	7.20
53.00 	898.69 	26.75 	1.84 	65.36 	7.36
54.00 	896.69 	27.40 	1.91 	66.48 	7.52
55.00 	894.67 	28.06 	1.97 	67.60 	7.69
56.00 	892.64 	28.74 	2.04 	68.72 	7.86
57.00 	890.59 	29.44 	2.11 	69.83 	8.04
58.00 	888.53 	30.14 	2.18 	70.93 	8.21
59.00 	886.46 	30.87 	2.25 	72.03 	8.40
60.00 	884.36 	31.61 	2.32 	73.13 	8.58
61.00 	882.25 	32.36 	2.40 	74.21 	8.77
62.00 	880.13 	33.13 	2.47 	75.30 	8.96
63.00 	877.99 	33.92 	2.55 	76.38 	9.16
64.00 	875.83 	34.73 	2.63 	77.45 	9.36
65.00 	873.65 	35.55 	2.72 	78.52 	9.56
66.00 	871.45 	36.39 	2.80 	79.58 	9.77
67.00 	869.24 	37.25 	2.89 	80.64 	9.98
68.00 	867.01 	38.13 	2.98 	81.69 	10.19
69.00 	864.75 	39.02 	3.07 	82.74 	10.41
70.00 	862.48 	39.94 	3.16 	83.79 	10.64
71.00 	860.19 	40.87 	3.25 	84.82 	10.86
72.00 	857.88 	41.82 	3.35 	85.85 	11.09
73.00 	855.55 	42.80 	3.45 	86.88 	11.33
74.00 	853.19 	43.79 	3.55 	87.90 	11.56
75.00 	850.82 	44.80 	3.65 	88.92 	11.81
76.00 	848.42 	45.84 	3.76 	89.93 	12.05
77.00 	846.00 	46.89 	3.87 	90.93 	12.30
78.00 	843.56 	47.97 	3.98 	91.93 	12.56
79.00 	841.09 	49.07 	4.09 	92.93 	12.82
80.00 	838.60 	50.19 	4.21 	93.92 	13.08
81.00 	836.09 	51.33 	4.33 	94.90 	13.35
82.00 	833.55 	52.50 	4.45 	95.88 	13.62
83.00 	830.99 	53.69 	4.57 	96.85 	13.90
84.00 	828.40 	54.91 	4.70 	97.82 	14.18
85.00 	825.79 	56.14 	4.83 	98.78 	14.46
86.00 	823.15 	57.40 	4.96 	99.74 	14.75
87.00 	820.48 	58.69 	5.09 	100.69 	15.05
88.00 	817.79 	60.00 	5.23 	101.63 	15.34
89.00 	815.07 	61.34 	5.37 	102.57 	15.65
90.00 	812.32 	62.70 	5.52 	103.50 	15.95
91.00 	809.55 	64.09 	5.66 	104.43 	16.26
92.00 	806.75 	65.51 	5.81 	105.35 	16.58
93.00 	803.91 	66.95 	5.97 	106.27 	16.90
94.00 	801.05 	68.42 	6.13 	107.18 	17.22
95.00 	798.16 	69.92 	6.29 	108.08 	17.55
96.00 	795.24 	71.44 	6.45 	108.98 	17.89
97.00 	792.29 	72.99 	6.62 	109.87 	18.22
98.00 	789.31 	74.57 	6.79 	110.76 	18.57
99.00 	786.30 	76.18 	6.96 	111.64 	18.91
100.00 	783.26 	77.82 	7.14 	112.51 	19.26
101.00 	780.19 	79.49 	7.32 	113.38 	19.62
102.00 	777.08 	81.19 	7.51 	114.24 	19.98
103.00 	773.94 	82.92 	7.70 	115.10 	20.34
104.00 	770.77 	84.68 	7.89 	115.95 	20.71
105.00 	767.57 	86.47 	8.09 	116.80 	21.08
106.00 	764.33 	88.29 	8.29 	117.63 	21.45
107.00 	761.06 	90.14 	8.50 	118.46 	21.83
108.00 	757.76 	92.02 	8.71 	119.29 	22.21
109.00 	754.42 	93.94 	8.93 	120.11 	22.60
110.00 	751.05 	95.89 	9.14 	120.92 	22.99
111.00 	747.65 	97.87 	9.37 	121.73 	23.39
112.00 	744.21 	99.88 	9.60 	122.53 	23.79
113.00 	740.74 	101.92 	9.83 	123.32 	24.19
114.00 	737.23 	104.00 	10.07 	124.11 	24.59
115.00 	733.69 	106.11 	10.31 	124.89 	25.00
116.00 	730.11 	108.26 	10.56 	125.66 	25.41
117.00 	726.49 	110.44 	10.81 	126.43 	25.83
118.00 	722.85 	112.65 	11.07 	127.19 	26.24
119.00 	719.16 	114.90 	11.33 	127.95 	26.67
120.00 	715.44 	117.18 	11.59 	128.69 	27.09
121.00 	711.69 	119.50 	11.87 	129.44 	27.51
122.00 	707.90 	121.85 	12.14 	130.17 	27.94
123.00 	704.07 	124.23 	12.43 	130.90 	28.37
124.00 	700.21 	126.65 	12.72 	131.62 	28.81
125.00 	696.31 	129.11 	13.01 	132.33 	29.24
126.00 	692.38 	131.60 	13.31 	133.04 	29.68
127.00 	688.41 	134.12 	13.61 	133.74 	30.12
128.00 	684.41 	136.68 	13.93 	134.43 	30.56
129.00 	680.37 	139.28 	14.24 	135.12 	31.00
130.00 	676.30 	141.91 	14.57 	135.79 	31.44
131.00 	672.19 	144.57 	14.89 	136.47 	31.88
132.00 	668.04 	147.27 	15.23 	137.13 	32.33
133.00 	663.87 	150.00 	15.57 	137.79 	32.77
134.00 	659.66 	152.77 	15.92 	138.44 	33.21
135.00 	655.41 	155.58 	16.27 	139.08 	33.66
136.00 	651.13 	158.42 	16.63 	139.72 	34.10
137.00 	646.82 	161.29 	16.99 	140.35 	34.55
138.00 	642.48 	164.20 	17.37 	140.97 	34.99
139.00 	638.10 	167.14 	17.75 	141.58 	35.43
140.00 	633.69 	170.11 	18.13 	142.19 	35.87
141.00 	629.25 	173.12 	18.52 	142.79 	36.31
142.00 	624.78 	176.16 	18.92 	143.38 	36.75
143.00 	620.28 	179.24 	19.33 	143.96 	37.19
144.00 	615.75 	182.35 	19.74 	144.54 	37.62
145.00 	611.19 	185.49 	20.16 	145.11 	38.05
146.00 	606.60 	188.66 	20.59 	145.67 	38.48
147.00 	601.98 	191.86 	21.02 	146.22 	38.91
148.00 	597.33 	195.10 	21.46 	146.77 	39.33
149.00 	592.66 	198.36 	21.91 	147.31 	39.75
150.00 	587.96 	201.66 	22.37 	147.84 	40.17
151.00 	583.24 	204.99 	22.83 	148.36 	40.58
152.00 	578.49 	208.34 	23.30 	148.88 	40.98
153.00 	573.72 	211.72 	23.78 	149.39 	41.39
154.00 	568.93 	215.14 	24.27 	149.89 	41.78
155.00 	564.11 	218.57 	24.76 	150.38 	42.17
156.00 	559.27 	222.04 	25.26 	150.87 	42.56
157.00 	554.41 	225.53 	25.77 	151.34 	42.94
158.00 	549.54 	229.05 	26.28 	151.81 	43.31
159.00 	544.64 	232.59 	26.81 	152.28 	43.68
160.00 	539.73 	236.16 	27.34 	152.73 	44.04
161.00 	534.80 	239.75 	27.88 	153.18 	44.39
162.00 	529.86 	243.36 	28.43 	153.61 	44.74
163.00 	524.90 	246.99 	28.98 	154.05 	45.08
164.00 	519.93 	250.64 	29.55 	154.47 	45.41
165.00 	514.95 	254.32 	30.12 	154.88 	45.73
166.00 	509.96 	258.01 	30.70 	155.29 	46.05
167.00 	504.95 	261.72 	31.29 	155.69 	46.35
168.00 	499.94 	265.45 	31.88 	156.08 	46.65
169.00 	494.92 	269.19 	32.49 	156.47 	46.93
170.00 	489.90 	272.95 	33.10 	156.84 	47.21
171.00 	484.87 	276.72 	33.72 	157.21 	47.48
172.00 	479.84 	280.51 	34.35 	157.57 	47.74
173.00 	474.80 	284.31 	34.98 	157.92 	47.99
174.00 	469.77 	288.12 	35.63 	158.27 	48.22
175.00 	464.73 	291.93 	36.28 	158.61 	48.45
176.00 	459.70 	295.76 	36.94 	158.94 	48.67
177.00 	454.66 	299.60 	37.61 	159.26 	48.87
